Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
AK-I-15000,ROGER ROM WINE IMPORTS LLC,,7721 PORT ORFORD DR,ANCHORAGE,AK,99507,ANCHORAGE,Importer (Alcohol),0
AK-I-15004,"ANZILOTTI'S TUSCAN MARKET, INC.",ANZILOTTI'S TUSCAN MARKET & DISTRIBUTORSHIP,750 W DIMOND BLVD STE 109,ANCHORAGE,AK,99515,ANCHORAGE,Importer (Alcohol),0
AK-I-15005,"SOUTHERN GLAZER'S WINE AND SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,3101 PEGER RD,FAIRBANKS,AK,99709,FAIRBANKS NORTH STAR,Importer (Alcohol),0
AK-I-15006,"SOUTHERN GLAZER'S WINE AND SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1800 SHIP AVE,ANCHORAGE,AK,99501,ANCHORAGE,Importer (Alcohol),0
AK-I-15007,"SOUTHERN GLAZER'S WINE AND SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5452 SHAUNE DR,JUNEAU,AK,99801,JUNEAU,Importer (Alcohol),0
AK-I-15008,"SOUTHERN GLAZER'S WINE AND SPIRITS OF ALASKA, LLC",SOUTHERN GLAZER'S OF AK,6300 CHANGEPOINT DR,ANCHORAGE,AK,99518,,Importer (Alcohol),0
AK-I-15009,"SOUTHERN GLAZER'S WINE AND SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5152 TOM STILES RD BLDG B,KODIAK,AK,99615,KODIAK ISLAND,Importer (Alcohol),0
AK-I-15010,ALASKA TEAM IMPORTS,,814 W NORTHERN LIGHTS BLVD STE 1B,ANCHORAGE,AK,99503,ANCHORAGE,Importer (Alcohol),0
AK-I-21002,"HIERLOOM WINES, LLC",,14493 W KIOWA ST,BIG LAKE,AK,99652,,Importer (Alcohol),0
AK-I-21003,49TH STATE IMPORTS & DISTRIBUTION LLC,Open Wine Distributors,1153 E. 74TH ST UNIT A,ANCHORAGE,AK,99518,ANCHORAGE,Importer (Alcohol),0
AK-I-21005,THE ODOM CORPORATION,The Odom Corporation,6300 CHANGEPOINT DR,ANCHORAGE,AK,99518,ANCHORAGE,Importer (Alcohol),0
AK-I-21006,RSQUARE CONSULTING L.L.C.,,20099 STERLING HWY,COOPER LANDING,AK,99572,,Importer (Alcohol),0
AK-I-21007,THE ODOM CORPORATION,The Odom Corporation,42960 KALIFORNSKY BEACH RD,SOLDOTNA,AK,99669,,Importer (Alcohol),0
AK-I-21008,KPQ WINES LLC,KPQ Wines,7470 CLAIRBORNE CIR,ANCHORAGE,AK,99502,,Importer (Alcohol),0
AK-I-21009,BELLUM CANUM CORP,,479 MISSION ST APT A7,KOTZEBUE,AK,99752,NORTHWEST ARCTIC BOROUGH,Importer (Alcohol),0
AK-I-21010,"WHISKY & RAMEN, LLC",Whisky and Ramen,436 W 4TH AVE,ANCHORAGE,AK,99501,ANCHORAGE,Importer (Alcohol),0
AK-I-21011,ALASKA CRAFT DISTRIBUTING LLC,,12851 GOLDEN EAGLE DR,EAGLE RIVER,AK,99577,,Importer (Alcohol),0
AK-I-21012,ODOM COA LICENSING LLC,,6300 CHANGEPOINT DR,ANCHORAGE,AK,99518,,Importer (Alcohol),0
AK-I-781,THE ODOM CORPORATION,ODOM COMPANY DIVISION,3101 PEGER RD,FAIRBANKS,AK,99709,FAIRBANKS NORTH STAR,Importer (Alcohol),0
AK-I-790,"SPECIALTY IMPORTS, INC.",,4119 INGRA ST,ANCHORAGE,AK,99503,ANCHORAGE,Importer (Alcohol),0
AK-I-805,THE ODOM CORPORATION,ODOM COMPANY DIVISION,5452 SHAUNE DR,JUNEAU,AK,99801,JUNEAU,Importer (Alcohol),0
AK-I-806,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,5152 TOM STILES RD BLDG B,KODIAK,AK,99615,KODIAK ISLAND,Importer (Alcohol),0
AK-I-809,"DAVID GREEN & SONS, INC. & SAGAYA CORP PTRS OF DAVID G. J.V.",AERO TRADING,4601 POSTMARK DR,ANCHORAGE,AK,99502,ANCHORAGE,Importer (Alcohol),0
AK-I-810,"K & L BEVERAGE COMPANY, LLC",Republic National Distributing Company of Alaska,945 ELIZABETH ST,FAIRBANKS,AK,99709,FAIRBANKS NORTH STAR,Importer (Alcohol),0
AK-I-811,"K & L BEVERAGE COMPANY, LLC",Republic National Distributing Company of Alaska,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,ANCHORAGE,Importer (Alcohol),0
AK-I-812,"K & L BEVERAGE COMPANY, LLC",Republic National Distributing Company of Alaska,1759 ANKA ST,JUNEAU,AK,99801,JUNEAU,Importer (Alcohol),0
AK-I-814,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,ANCHORAGE,Importer (Alcohol),0
AK-I-815,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,8420 AIRPORT BLVD,JUNEAU,AK,99801,JUNEAU,Importer (Alcohol),0
AK-I-816,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,945 ELIZABETH ST,FAIRBANKS,AK,99709,FAIRBANKS NORTH STAR,Importer (Alcohol),0
AK-I-819,TURNAGAIN VINES LLC,TURNAGAIN VINES,230 E POTTER DR UNIT 1,ANCHORAGE,AK,99518,ANCHORAGE,Importer (Alcohol),0
AL-I-15000,BLUESTONE BEVERAGE COMPANY LLC,,153 CAHABA VALLEY PARKWAY,PELHAM,AL,35124,SHELBY,Importer (Alcohol),0
AL-I-15004,PASSPORT CAFE LLC,PASSPORT CAFE,336 OLD OAK COVE,CHELSEA,AL,35043,SHELBY,Importer (Alcohol),0
AL-I-15008,"BROTHER'S REAL ESTATE HOLDINGS, LLC",JUST CAUSE IMPORTS,23048 HILL RD,SILVERHILL,AL,36576,BALDWIN,Importer (Alcohol),0
AL-I-15009,"ATHENS IMPORTERS, LLC",,1336 PANORAMA DR,BIRMINGHAM,AL,35216,JEFFERSON,Importer (Alcohol),0
AL-I-15011,"SOUTHERN GLOBAL, INC.",,8325 HIGHWAY 431,ALBERTVILLE,AL,35950,MARSHALL,Importer (Alcohol),0
AL-I-15012,VOLONTE WINES,,13636 HWY 84,EVERGREEN,AL,36401,CONECUH,Importer (Alcohol),0
AL-I-15013,"BROOKLEY INTERNATIONAL DISTRIBUTING, L.L.C.",BROOKLEY INTERNATIONAL WINES,23803 COUNTY ROAD 64,ROBERTSDALE,AL,36567,BALDWIN,Importer (Alcohol),0
AL-I-15017,"UNIQCO, INC.",,3425 LOOKOUT DR,HUNTSVILLE,AL,35801,MADISON,Importer (Alcohol),0
AL-I-15019,"JAY MILLS, INC.",JAYS,1716 BEAR FORK RD,EIGHT MILE,AL,36613,MOBILE,Importer (Alcohol),0
AL-I-15026,"LA EL TORO, LLC",LA EL TORO WINES,302 HARTSIDE RD SE,OWENS CROSS ROADS,AL,35763,MADISON,Importer (Alcohol),0
AL-I-15028,"HIGHER GROUND ENERGY SOLUTIONS, INC.",SAVASSI CACHACA USA,120 N COURT ST STE D,FLORENCE,AL,35630,LAUDERDALE,Importer (Alcohol),0
AL-I-15029,AFISKA LLC,VINNE SKLEPY IMPORTERS,3077 LEEMAN FERRY RD,HUNTSVILLE,AL,35801,MADISON,Importer (Alcohol),0
AL-I-15030,"OSM IMPORTING, L.L.C.",OSM IMPORTING,169 DAUPHIN ST STE 200,MOBILE,AL,36602,MOBILE,Importer (Alcohol),0
AL-I-15034,A&G BEVERAGES LLC,,18393 HIGHWAY 98,FOLEY,AL,36535,BALDWIN,Importer (Alcohol),0
AL-I-21001,"SA BRANDS, LLC",,1332 E TULIP COURT CT,AUBURN,AL,36830,LEE,Importer (Alcohol),0
AL-I-21002,"THOMPSON PINNACLE HOLDINGS, INC.",Pinnacle Imports,3075 MORGAN RD,BESSEMER,AL,35022,JEFFERSON,Importer (Alcohol),0
AL-I-21003,PITEC CORPORATION,,3461 OLD GREENVILLE RD RD,EVERGREEN,AL,36401,CONECUH,Importer (Alcohol),0
AL-I-21004,GP IMPORT/EXPORT LLC,,2204 LAKESHORE DR STE 406,BIRMINGHAM,AL,35209,JEFFERSON,Importer (Alcohol),0
AL-I-21005,"SUNDOWN COMPANIES, L.L.C.",Sundown Wines,1535 MARKET DR NE,ARAB,AL,35016,,Importer (Alcohol),0
AL-I-21006,"PAVONE IMPORTING, INC.",Pavone Importing,25495 RAVENWOOD CIR,DAPHNE,AL,36526,,Importer (Alcohol),0
AL-I-21007,"MAGNUM SYSTEMS, INC.",,4371 HOFFMAN RD,MOBILE,AL,36619,,Importer (Alcohol),0
AL-I-21008,HAINT BLUE BREWING COMPANY LLC,,853 DAUPHIN ST STE C,MOBILE,AL,36602,,Importer (Alcohol),0
AL-I-21009,"WINGMAN BEVERAGE DISTRIBUTORS, LLC",,4560 NEWCOMB AVE,MONTGOMERY,AL,36108,MONTGOMERY,Importer (Alcohol),0
AL-I-21010,"PERDIDO VINEYARDS OF GEORGIA, INC.",,22100 COUNTY ROAD 47,PERDIDO,AL,36562,,Importer (Alcohol),0
AL-I-21012,"CAMPESINO, LLC",,2324 N 2ND AVE,BIRMINGHAM,AL,35203,,Importer (Alcohol),0
AL-I-21013,JP JORDAN BEVERAGE INC,,7723 NE RIVER RIDGE RD,TUSCALOOSA,AL,35406,,Importer (Alcohol),0
AL-I-21014,"COTES DE FEMME, LLC",Cotes de Femme LLC,128 NOBLE DR SE,HUNTSVILLE,AL,35802,MADISON,Importer (Alcohol),0
AL-I-21015,"REPUBLIC NATIONAL DISTRIBUTING COMPANY, LLC",,836 LAGOON COMMERCIAL BLVD,MONTGOMERY,AL,36117,,Importer (Alcohol),0
AL-I-21016,ALTERNATIVE WINES LLC,,799 OSTER DR UNIT X37,HUNTSVILLE,AL,35816,MADISON,Importer (Alcohol),0
AL-I-21017,THE JOHN CARROLL GROUP LLC,,1000 COLONIAL LAKE DR 1017,MADISON,AL,35758,,Importer (Alcohol),0
AL-I-21018,REWINE LLC,ReWine LLC,3234 MARINER CIR,ORANGE BEACH,AL,3656,,Importer (Alcohol),0
AL-I-21019,SCHUSTER IMPORTS LLC,,2106 TRIANA BLVD SW STE A,HUNTSVILLE,AL,35805,,Importer (Alcohol),0
AL-I-21020,SOUTHERN TRADITION DISTILLING COMPANY LLC,southern tradition distilling company,757 GOVERNMENT ST UNIT B,MOBILE,AL,36604,MOBILE,Importer (Alcohol),0
AL-I-21021,DEAN A HAWKINS ENTERPRISES LLC,,102 SUGARWOOD CT,MADISON,AL,35758,MADISON,Importer (Alcohol),0
AL-I-21022,"CAT-N-BIRD WINERY, LLC",Cat-n-Bird Winery,11661 OLD HIGHWAY 280,CHELSEA,AL,35043,,Importer (Alcohol),0
AL-I-21023,"BOTH WAYS DISTRIBUTING, LLC",Both Ways Distributing,1040 STANTON RD STE A & B,DAPHNE,AL,36526,BALDWIN,Importer (Alcohol),0
AL-I-21024,FORTUNE HOLDINGS LLC,Fortune Wholesale,2465 COMMERCIAL PARK DR STE 1,MOBILE,AL,36606,,Importer (Alcohol),0
AL-I-21025,LEO GRANDIS CHAMPAGNE LLC,,1149 CIRCLE TRL,BIRMINGHAM,AL,35214,JEFFERSON,Importer (Alcohol),0
AL-I-21026,"MADVINES AND SPIRITS, A BEAUMAD AND MAGNOLIA BARREL HOUSE COMPANY","MadVines and Spirits, Inc.",3515 3RD AVE S,BIRMINGHAM,AL,35222,,Importer (Alcohol),0
AL-I-21028,GOLDEN GRACE IMPORTS LLC,,8225 STEPHANIE DR UNIT 108,HUNTSVILLE,AL,35802,,Importer (Alcohol),0
AL-I-21029,THE RUSH CORPORATION,Rush Wines,2516 COMMERCE SQ W,IRONDALE,AL,35210,JEFFERSON,Importer (Alcohol),0
AL-I-21030,ABSINTHEMINDED ENTERPRISES LLC,Absintheminded Enterprises,18789 LINGER LONGER LN,SUMMERDALE,AL,36580,BALDWIN,Importer (Alcohol),0
AL-I-21031,"ADAMS BEVERAGES, LLC",,141 INDUSTRIAL DR,BIRMINGHAM,AL,35211,JEFFERSON,Importer (Alcohol),0
AL-I-21032,EL VIAJE SPIRITS LLC,,4668 JACKSON LOOP,VESTAVIA HILLS,AL,35242,JEFFERSON,Importer (Alcohol),0
AL-I-21033,ITALIAN CLEAN WINES LLC,Papa Vince,3757 GULF SHORES PKWY STE BD,GULF SHORES,AL,36542,BALDWIN,Importer (Alcohol),0
AL-I-21034,INEST WINES LLC,Inest Wines,2005 SPARKMAN DR UNIT 144,HUNTSVILLE,AL,35810,MADISON,Importer (Alcohol),0
AL-I-21035,"GULF DISTRIBUTING COMPANY OF ALABAMA, LLC",,6990 CROSS DR,MCCALLA,AL,35111,JEFFERSON,Importer (Alcohol),0
AL-I-21036,"TRAILHEAD WINE & SPIRITS, LLC",,24 RIDGE DR,BIRMINGHAM,AL,35213,,Importer (Alcohol),0
AL-I-21037,SILVA LLC,,147 HOLLY FERN DR,HARVEST,AL,35749,MADISON,Importer (Alcohol),0
AL-I-21038,"PRODOLCE, LLC",,118 N ROSS ST STE 6,AUBURN,AL,36830,LEE,Importer (Alcohol),0
AL-I-21039,LIFESTYLE OF SPIRITS,,3104 COTTAGE GROVE DR,MOBILE,AL,36695,,Importer (Alcohol),0
AL-I-21040,MGBEV LLC,,3425 SE LOOKOUT DR SE,HUNTSVILLE,AL,35801,,Importer (Alcohol),0
AL-I-21041,COSMOS WINE CLUB L.L.C.,Cosmos Wine Club,805 HERITAGE PL CT,IRONDALE,AL,35210,,Importer (Alcohol),0
AL-I-21042,GEORGIA CROWN DISTRIBUTING CO.,Alabama Crown Distributing Co.,175 AIRVIEW LN STE 1300,ALABASTER,AL,35007,SHELBY,Importer (Alcohol),0
AL-I-21043,SKINNER IMPORTS LLC,,21789 DAVID DR,ELKMONT,AL,35620,LIMESTONE,Importer (Alcohol),0
AL-I-21044,BUFFALO ROCK COMPANY,,422 INDUSTRIAL DR,BIRMINGHAM,AL,35211,ALABAMA,Importer (Alcohol),0
AL-I-21045,WARD IMPORTS L.L.C,Ward Imports,406 E THREE NOTCH ST,ANDALUSIA,AL,36420,,Importer (Alcohol),0
AL-I-21046,LUCAS ALLAN IMPORTS LLC,Lucas Allan Imports,1719 BRITTANY PL,HOOVER,AL,35226,JEFFERSON,Importer (Alcohol),0
AL-I-272,"GULF DISTRIBUTING CO. OF MOBILE, L.L.C.",,3378 MOFFETT RD,MOBILE,AL,36607,MOBILE,Importer (Alcohol),0
AL-I-330,"KLOMAR SHIP SUPPLY CO., INC.",,2200 PERIMETER RD,MOBILE,AL,36615,MOBILE,Importer (Alcohol),0
AL-I-335,"INTERNATIONAL WINES, INC.",,100 GILBERT DR,ALABASTER,AL,35007,SHELBY,Importer (Alcohol),0
AL-I-349,GEORGIA CROWN DISTRIBUTING CO.,,1330 CORPORATE WOODS DR,ALABASTER,AL,35007,SHELBY,Importer (Alcohol),0
AL-I-368,"HYMAX, INC.",KAMIL SHIP SUPPLY,500 SAINT LOUIS ST,MOBILE,AL,36602,MOBILE,Importer (Alcohol),0
AL-I-374,RANDALL B. PHILLIPS,"R. B. PHILLIPS, R. B. PHILLIPS IMPORT CO.",2415 LEE RD 71,CAMP HILL,AL,36850,TALLAPOOSA,Importer (Alcohol),0
AL-I-381,"VINEYARD BRANDS, LLC",,2 20TH ST STE 100,BIRMINGHAM,AL,35203,JEFFERSON,Importer (Alcohol),0
AL-I-382,"M & J PERSONAL SELECTIONS, LLC",,26355 FELL RD,ELBERTA,AL,36530,BALDWIN,Importer (Alcohol),0
AL-I-389,CYPRESS INTERNATIONAL RESOURCE,,412 S COURT ST STE 109,FLORENCE,AL,35630,LAUDERDALE,Importer (Alcohol),0
AL-I-392,"CRUX IMPORTS, INC.",,901 E SOUTH BLVD,MONTGOMERY,AL,36116,MONTGOMERY,Importer (Alcohol),0
AL-I-397,"HORNSBY WINE IMPORTS, INC.",,108 FAIRCLOTH ST,ANDALUSIA,AL,36420,COVINGTON,Importer (Alcohol),0
AL-I-398,"LATINO WINES, LLC",WORLD WINE IMPORTS,706 DALLAS ST,HUNTSVILLE,AL,35801,MADISON,Importer (Alcohol),0
